Time[s],Wavelength [nm],Voltage [V]
3726672531.6193351700,769.6875000000,0.1134461000
3726672532.4999799700,769.8125000000,0.1134624000
3726672533.3804216400,769.9062500000,0.1190176000
3726672534.2638478300,770.0000000000,0.1144152000
3726672535.1480097800,770.0937500000,0.1155354000
3726672536.0231847800,770.1875000000,0.1161685000
3726672536.9074602100,770.3125000000,0.1128763000
3726672537.7846574800,770.4062500000,0.1160521000
3726672538.6656894700,770.5000000000,0.1149421000
3726672539.5432400700,770.5937500000,0.1150258000
3726672540.4286470400,770.6875000000,0.1161236000
3726672541.3106694200,770.8125000000,0.1150605000
3726672542.1917295400,770.9062500000,0.1162318000
3726672543.0732522000,771.0000000000,0.1161440000
3726672543.9548606900,771.0937500000,0.1153015000
3726672544.8372993500,771.1875000000,0.1138780000
3726672545.7171440100,771.3125000000,0.1141354000
3726672546.6043577200,771.4062500000,0.1119797000
3726672547.4855208400,771.5000000000,0.1155987000
3726672548.3689856500,771.5937500000,0.1164258000
3726672549.2543935800,771.6875000000,0.1167220000
3726672550.1349062900,771.8125000000,0.1136554000
3726672551.0054478600,771.9062500000,0.1137943000
3726672551.8928623200,772.0000000000,0.1178667000
3726672552.7794938100,772.0937500000,0.1177115000
3726672553.6621422800,772.1875000000,0.1212141000
3726672554.5417175300,772.3125000000,0.1173071000
3726672555.4277505900,772.4062500000,0.1181016000
3726672556.3110861800,772.5000000000,0.1181914000
3726672557.1936869600,772.5937500000,0.1179504000
3726672558.0788369200,772.6875000000,0.1191789000
3726672558.9655919100,772.8125000000,0.1186489000
3726672559.8456583000,772.9062500000,0.1174991000
3726672560.7303710000,773.0000000000,0.1182302000
3726672561.6040825800,773.0937500000,0.1176666000
3726672562.4857440000,773.1875000000,0.1150503000
3726672563.3701982500,773.3125000000,0.1169242000
3726672564.2526998500,773.4062500000,0.1131499000
3726672565.1346864700,773.5000000000,0.1197753000
3726672566.0149383500,773.5937500000,0.1153465000
3726672566.8971600500,773.6875000000,0.1155558000
3726672567.7796592700,773.8125000000,0.1158969000
3726672568.6648664500,773.9062500000,0.1137351000
3726672569.5478425000,774.0000000000,0.1157376000
3726672570.4309949900,774.0937500000,0.1179361000
3726672571.3177809700,774.1875000000,0.1163135000
3726672572.1968135800,774.3125000000,0.1159398000
3726672573.0736751500,774.4062500000,0.1172826000
3726672573.9585895500,774.5000000000,0.1163870000
3726672574.8453912700,774.5937500000,0.1168180000
3726672575.7311735100,774.6875000000,0.1146092000
3726672576.6116704900,774.8125000000,0.1158908000
3726672577.4957046500,774.9062500000,0.1152433000
3726672578.3823885900,775.0000000000,0.1150238000
3726672579.2585239400,775.0937500000,0.1148788000
3726672580.1416320800,775.1875000000,0.1162972000
3726672581.0178008100,775.3125000000,0.1180648000
3726672581.8963446600,775.4062500000,0.1157110000
3726672582.7782888400,775.5000000000,0.1141435000
3726672583.6589713100,775.5937500000,0.1154578000
3726672584.5355038600,775.6875000000,0.1146766000
3726672585.4199671700,775.8125000000,0.1133909000
3726672586.2972226100,775.9062500000,0.1131295000
3726672587.1800289100,776.0000000000,0.1136023000
3726672588.0632934600,776.0937500000,0.1163993000
3726672588.9431119000,776.1875000000,0.1132725000
3726672589.8266038900,776.3125000000,0.1157069000
3726672590.7109642000,776.4062500000,0.1168098000
3726672591.5944881400,776.5000000000,0.1132439000
3726672592.4779753700,776.5937500000,0.1175358000
3726672593.3597416900,776.6875000000,0.1136003000
3726672594.2452573800,776.8125000000,0.1161154000
3726672595.1225042300,776.9062500000,0.1180280000
3726672596.0092806800,777.0000000000,0.1190707000
3726672596.8911223400,777.0937500000,0.1215041000
3726672597.7727394100,777.1875000000,0.1190441000
3726672598.6570329700,777.3125000000,0.1196650000
3726672599.5386729200,777.4062500000,0.1215796000
3726672600.4229502700,777.5000000000,0.1209506000
3726672601.3074703200,777.5937500000,0.1217001000
3726672602.1888704300,777.6875000000,0.1222005000
3726672603.0709009200,777.8125000000,0.1207995000
3726672603.9532184600,777.9062500000,0.1214918000
3726672604.8353505100,778.0000000000,0.1224466000
3726672605.7137489300,778.0937500000,0.1185448000
3726672606.5993952700,778.1875000000,0.1156600000
3726672607.4835848800,778.3125000000,0.1153679000
3726672608.3669047300,778.4062500000,0.1170038000
3726672609.2509584400,778.5000000000,0.1173132000
3726672610.1273298300,778.5937500000,0.1138923000
3726672611.0110969500,778.6875000000,0.1131459000
3726672611.8922829600,778.8125000000,0.1140618000
3726672612.7774319600,778.9062500000,0.1176666000
3726672613.6614847200,779.0000000000,0.1136085000
3726672614.5509743700,779.0937500000,0.1162543000
3726672615.4315881700,779.1875000000,0.1175583000
3726672616.3131008100,779.3125000000,0.1124127000
3726672617.1950321200,779.4062500000,0.1127476000
3726672618.0827240900,779.5000000000,0.1145867000
3726672618.9615135200,779.5937500000,0.1169078000
3726672619.8437495200,779.6875000000,0.1175379000
3726672620.7266759900,779.8125000000,0.1182425000
3726672621.6025567000,779.9062500000,0.1148624000
3726672622.4893279100,780.0000000000,0.1159091000
3726672623.3766574800,780.0937500000,0.1171886000
3726672624.2597045900,780.1875000000,0.1145459000
3726672625.1417703600,780.3125000000,0.1158050000
3726672626.0215969100,780.4062500000,0.1139209000
3726672626.9039592700,780.5000000000,0.1152392000
3726672627.7886462200,780.5937500000,0.1141987000
3726672628.6715159400,780.6875000000,0.1156334000
3726672629.5538973800,780.8125000000,0.1136718000
3726672630.4352655400,780.9062500000,0.1170549000
3726672631.3214430800,781.0000000000,0.1162808000
3726672632.2076249100,781.0937500000,0.1155354000
3726672633.0914077700,781.1875000000,0.1145132000
3726672633.9745869600,781.3125000000,0.1161552000
3726672634.8564233800,781.4062500000,0.1122064000
3726672635.7370734200,781.5000000000,0.1143702000
3726672636.6204862600,781.5937500000,0.1182752000
3726672637.5067057600,781.6875000000,0.1139373000
3726672638.3925461800,781.8125000000,0.1147971000
3726672639.2764344200,781.9062500000,0.1144989000
3726672640.1633310300,782.0000000000,0.1151606000
3726672641.0433225600,782.0937500000,0.1182997000
3726672641.9163541800,782.1875000000,0.1167690000
3726672642.7977862300,782.3125000000,0.1148829000
3726672643.6822209300,782.4062500000,0.1150871000
3726672644.5662198100,782.5000000000,0.1166730000
3726672645.4463143300,782.5937500000,0.1171825000
3726672646.3256959900,782.6875000000,0.1178810000
3726672647.2120776200,782.8125000000,0.1132664000
3726672648.0926446900,782.9062500000,0.1171989000
3726672648.9758577300,783.0000000000,0.1162808000
3726672649.8608894300,783.0937500000,0.1148931000
3726672650.7371048900,783.1875000000,0.1140414000
3726672651.6174664500,783.3125000000,0.1149319000
3726672652.4976406100,783.4062500000,0.1160112000
3726672653.3833704000,783.5000000000,0.1175930000
3726672654.2650694800,783.5937500000,0.1150544000
3726672655.1451225300,783.6875000000,0.1149360000
3726672656.0361413900,783.8125000000,0.1145459000
3726672656.9161458000,783.9062500000,0.1170436000
3726672657.8005199400,784.0000000000,0.1181669000
3726672658.6833152800,784.0937500000,0.1174072000
3726672659.5684046700,784.1875000000,0.1172683000
3726672660.4509778000,784.3125000000,0.1134737000
3726672661.3364887200,784.4062500000,0.1193423000
3726672662.2189793600,784.5000000000,0.1157621000
3726672663.0959801700,784.5937500000,0.1165198000
3726672663.9829640400,784.6875000000,0.1155476000
3726672664.8656430200,784.8125000000,0.1151443000
3726672665.7415127700,784.9062500000,0.1174766000
3726672666.6211295100,785.0000000000,0.1129335000
3726672667.5029802300,785.0937500000,0.1171764000
3726672668.3865494700,785.1875000000,0.1153679000
3726672669.2675709700,785.3125000000,0.1133154000
3726672670.1509065600,785.4062500000,0.1144540000
3726672671.0357217800,785.5000000000,0.1155538000
3726672671.9111809700,785.5937500000,0.1147011000
3726672672.7884359400,785.6875000000,0.1177054000
3726672673.6741766900,785.8125000000,0.1129559000
3726672674.5583062200,785.9062500000,0.1149421000
3726672675.4393200900,786.0000000000,0.1125536000
3726672676.3231425300,786.0937500000,0.1129171000
3726672677.2037544200,786.1875000000,0.1150544000
3726672678.0911521900,786.3125000000,0.1208873000
3726672678.9777464900,786.4062500000,0.1152372000
3726672679.8619318000,786.5000000000,0.1160010000
3726672680.7430224400,786.5937500000,0.1174644000
3726672681.6165409100,786.6875000000,0.1173663000
3726672682.5009136200,786.8125000000,0.1158581000
3726672683.3863711300,786.9062500000,0.1180260000
3726672684.2728328700,787.0000000000,0.1173132000
3726672685.1531329100,787.0937500000,0.1140169000
3726672686.0323061900,787.1875000000,0.1144621000
3726672686.9141511900,787.3125000000,0.1144050000
3726672687.7992577500,787.4062500000,0.1142702000
3726672688.6857824300,787.5000000000,0.1146092000
3726672689.5690770100,787.5937500000,0.1150320000
3726672690.4532914200,787.6875000000,0.1162053000
3726672691.3324351300,787.8125000000,0.1141558000
3726672692.2174720800,787.9062500000,0.1171182000
3726672693.1003055600,788.0000000000,0.1146725000
3726672693.9856958400,788.0937500000,0.1130478000
3726672694.8692846300,788.1875000000,0.1155619000
3726672695.7492785400,788.3125000000,0.1194975000
3726672696.6338214900,788.4062500000,0.1146705000
3726672697.5166840500,788.5000000000,0.1128885000
3726672698.4039874100,788.5937500000,0.1169885000
3726672699.2838087100,788.6875000000,0.1167199000
3726672700.1677503600,788.8125000000,0.1175134000
3726672701.0474534000,788.9062500000,0.1187459000
3726672701.9247794100,789.0000000000,0.1161848000
3726672702.8078289000,789.0937500000,0.1160480000
3726672703.6932687800,789.1875000000,0.1167342000
3726672704.5795545600,789.3125000000,0.1155558000
3726672705.4599165900,789.4062500000,0.1150442000
3726672706.3438353500,789.5000000000,0.1133726000
3726672707.2285337400,789.5937500000,0.1131254000
3726672708.1059041000,789.6875000000,0.1163013000
3726672708.9870495800,789.8125000000,0.1187306000
3726672709.8692150100,789.9062500000,0.1160051000
3726672710.7512431100,790.0000000000,0.1164320000
3726672711.6364903400,790.0937500000,0.1170263000
3726672712.5156455000,790.1875000000,0.1155579000
3726672713.4048142400,790.3125000000,0.1153414000
3726672714.2902894000,790.4062500000,0.1152832000
3726672715.1786589600,790.5000000000,0.1142375000
3726672716.0615663500,790.5937500000,0.1167056000
3726672716.9449615500,790.6875000000,0.1154118000
3726672717.8278431900,790.8125000000,0.1165892000
3726672718.7083029700,790.9062500000,0.1156416000
3726672719.5882473000,791.0000000000,0.1162155000
3726672720.4625105800,791.0937500000,0.1162522000
3726672721.3452706300,791.1875000000,0.1186571000
3726672722.2311215400,791.3125000000,0.1140169000
3726672723.1110320100,791.4062500000,0.1160521000
3726672723.9962215400,791.5000000000,0.1140108000
3726672724.8834567100,791.5937500000,0.1175358000
3726672725.7584033000,791.6875000000,0.1154088000
3726672726.6388688100,791.8125000000,0.1168302000
3726672727.5235552800,791.9062500000,0.1174756000
3726672728.4050746000,792.0000000000,0.1147399000
3726672729.2867984800,792.0937500000,0.1166403000
3726672730.1704006200,792.1875000000,0.1157314000
3726672731.0479359600,792.3125000000,0.1149993000
3726672731.9332823700,792.4062500000,0.1145520000
3726672732.8204574600,792.5000000000,0.1183283000
3726672733.6993918400,792.5937500000,0.1142436000
3726672734.5802631400,792.6875000000,0.1147276000
3726672735.4641118000,792.8125000000,0.1162094000
3726672736.3498888000,792.9062500000,0.1182527000
3726672737.2262830700,793.0000000000,0.1156028000
3726672738.1074013700,793.0937500000,0.1185100000
3726672738.9883990300,793.1875000000,0.1165055000
3726672739.8740038900,793.3125000000,0.1137739000
3726672740.7585592300,793.4062500000,0.1128538000
3726672741.6320281000,793.5000000000,0.1158662000
3726672742.5173039400,793.5937500000,0.1147685000
3726672743.3978152300,793.6875000000,0.1146276000
3726672744.2792320200,793.8125000000,0.1148012000
3726672745.1637287100,793.9062500000,0.1164340000
3726672746.0473208400,794.0000000000,0.1137575000
3726672746.9261298200,794.0937500000,0.1138637000
3726672747.8125486400,794.1875000000,0.1138311000
3726672748.7004914300,794.3125000000,0.1145377000
3726672749.5808968500,794.4062500000,0.1146929000
3726672750.4636726400,794.5000000000,0.1133848000
3726672751.3480544100,794.5937500000,0.1146807000
