Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
4.00000000e+01, -2.93541069e+00, 9.73000000e+02
4.01000000e+01, -2.93486234e+00, 9.72000000e+02
4.02000000e+01, -2.93379706e+00, 9.70000000e+02
4.03000000e+01, -2.93272718e+00, 9.68000000e+02
4.04000000e+01, -2.93217004e+00, 9.67000000e+02
4.05000000e+01, -2.93367729e+00, 9.70000000e+02
4.06000000e+01, -2.93825748e+00, 9.79000000e+02
4.07000000e+01, -2.93772035e+00, 9.78000000e+02
4.08000000e+01, -2.93871447e+00, 9.80000000e+02
4.09000000e+01, -2.93868972e+00, 9.80000000e+02
4.10000000e+01, -2.93713206e+00, 9.77000000e+02
4.11000000e+01, -2.93195960e+00, 9.67000000e+02
4.12000000e+01, -2.93449744e+00, 9.72000000e+02
4.13000000e+01, -2.93446297e+00, 9.72000000e+02
4.14000000e+01, -2.94005525e+00, 9.83000000e+02
4.15000000e+01, -2.93850626e+00, 9.80000000e+02
4.16000000e+01, -2.93694896e+00, 9.77000000e+02
4.17000000e+01, -2.93074172e+00, 9.65000000e+02
4.18000000e+01, -2.93225100e+00, 9.68000000e+02
4.19000000e+01, -2.93735088e+00, 9.78000000e+02
4.20000000e+01, -2.93681283e+00, 9.77000000e+02
4.21000000e+01, -2.94086262e+00, 9.85000000e+02
4.22000000e+01, -2.93982841e+00, 9.83000000e+02
4.23000000e+01, -2.93878977e+00, 9.81000000e+02
4.24000000e+01, -2.93158011e+00, 9.67000000e+02
4.25000000e+01, -2.93050534e+00, 9.65000000e+02
4.26000000e+01, -2.93201542e+00, 9.68000000e+02
4.27000000e+01, -2.92886843e+00, 9.62000000e+02
4.28000000e+01, -2.92934255e+00, 9.63000000e+02
4.29000000e+01, -2.92773844e+00, 9.60000000e+02
4.30000000e+01, -2.92612591e+00, 9.57000000e+02
4.31000000e+01, -2.92971876e+00, 9.64000000e+02
4.32000000e+01, -2.92863780e+00, 9.62000000e+02
4.33000000e+01, -2.93118499e+00, 9.67000000e+02
4.34000000e+01, -2.93372489e+00, 9.72000000e+02
4.35000000e+01, -2.93317750e+00, 9.71000000e+02
4.36000000e+01, -2.93417248e+00, 9.73000000e+02
4.37000000e+01, -2.93311229e+00, 9.71000000e+02
4.38000000e+01, -2.93462104e+00, 9.74000000e+02
4.39000000e+01, -2.93715113e+00, 9.79000000e+02
4.40000000e+01, -2.93814737e+00, 9.81000000e+02
4.41000000e+01, -2.94016016e+00, 9.85000000e+02
4.42000000e+01, -2.94267467e+00, 9.90000000e+02
4.43000000e+01, -2.93758712e+00, 9.80000000e+02
4.44000000e+01, -2.93603136e+00, 9.77000000e+02
4.45000000e+01, -2.93600515e+00, 9.77000000e+02
4.46000000e+01, -2.93802191e+00, 9.81000000e+02
4.47000000e+01, -2.93595750e+00, 9.77000000e+02
4.48000000e+01, -2.93490689e+00, 9.75000000e+02
4.49000000e+01, -2.93385194e+00, 9.73000000e+02
4.50000000e+01, -2.93227745e+00, 9.70000000e+02
4.51000000e+01, -2.93635041e+00, 9.78000000e+02
4.52000000e+01, -2.93581423e+00, 9.77000000e+02
4.53000000e+01, -2.93425082e+00, 9.74000000e+02
4.54000000e+01, -2.93473483e+00, 9.75000000e+02
4.55000000e+01, -2.93879277e+00, 9.83000000e+02
4.56000000e+01, -2.93928232e+00, 9.84000000e+02
