Wavelength [nm],Voltage [V],Normalised voltage,Wavelength simulation [nm],Relative intensity simulation
642.6875,0.1121715559,0.3157217138,674.03403,0.00000000
642.8125,0.1116609794,0.3142846286,674.25425,0.00000000
642.90625,0.1119553647,0.3151132151,674.47447,0.00000000
643.0,0.1119718853,0.3151597145,674.69469,0.00000000
643.09375,0.1119485853,0.3150941335,674.91491,0.00000000
643.1875,0.1115069882,0.3138512001,675.13514,0.00000000
643.3125,0.1124747529,0.3165751021,675.35536,0.00000000
643.40625,0.1120169353,0.3152865137,675.57558,0.00000000
643.5,0.1124236676,0.3164313158,675.79580,0.00000000
643.59375,0.1127885176,0.3174582345,676.01602,0.00000000
643.6875,0.1131489324,0.3184726694,676.23624,0.00000000
643.8125,0.1139105647,0.3206163847,676.45646,0.00000000
643.90625,0.1139526382,0.3207348062,676.67668,0.00000000
644.0,0.1148051088,0.3231341977,676.89690,0.00000001
644.09375,0.1153599235,0.3246957972,677.11712,0.00000014
644.1875,0.1160372618,0.3266022555,677.33734,0.00000116
644.3125,0.1168168882,0.3287966175,677.55756,0.00000808
644.40625,0.1164249676,0.3276935051,677.77778,0.00004630
644.5,0.1172773118,0.3300925406,677.99800,0.00021867
644.59375,0.1172869853,0.330119768,678.21822,0.00085057
644.6875,0.1175124235,0.3307542938,678.43844,0.00272509
644.8125,0.1166766235,0.3284018239,678.65866,0.00719123
644.90625,0.1170321059,0.3294023761,678.87888,0.01563067
645.0,0.1164849265,0.3278622671,679.09910,0.02798363
645.09375,0.1158242206,0.3260026228,679.31932,0.04126509
645.1875,0.1145581676,0.322439149,679.53954,0.05012031
645.3125,0.1135841235,0.3196975727,679.75976,0.05014144
645.40625,0.1136100235,0.3197704717,679.97998,0.04131731
645.5,0.1132621029,0.3187912031,680.20020,0.02804268
645.59375,0.1127064941,0.3172273684,680.42042,0.01567686
645.6875,0.1122287118,0.3158825866,680.64064,0.00721857
645.8125,0.1117561765,0.3145525734,680.86086,0.00273776
645.90625,0.1117512588,0.314538732,681.08108,0.00085525
646.0,0.1116484853,0.3142494623,681.30130,0.00022006
646.09375,0.1118097088,0.3147032473,681.52152,0.00004664
646.1875,0.1118373618,0.3147810802,681.74174,0.00000814
646.3125,0.11123275,0.3130793202,681.96196,0.00000117
