All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
120.0,42.482041457208666,42.183336911380486,43.205438054299236,,,
121.0,42.18306002941211,41.88879353066688,42.8904267499229,,,
122.0,41.888500395362435,41.598755524457296,42.579792157859124,,,
123.0,41.5984462678514,41.313305314400594,42.273626204914784,,,
124.0,41.31298007922191,41.032524018407074,41.97201949548213,,,
125.0,41.03218295794116,40.75649142759682,41.67506128472601,,,
126.0,40.756134705544085,40.48528598362502,41.382839452170444,,,
127.0,40.48491377395415,40.21898475639074,41.09544047569216,,,
128.0,40.21859724318756,39.95766342213562,40.81294940592904,,,
129.0,39.95726079944737,39.70139624193849,40.53544984111089,,,
130.0,39.700978713613765,39.450256040612274,40.26302390232,,,
131.0,39.44982382013655,39.204314186008915,39.99575220918892,,,
132.0,39.20386749633584,38.9636405687384,39.7337138560424,,,
133.0,38.96317964211688,38.7283035823076,39.476986388490964,,,
134.0,38.72782866010476,38.49837010368452,39.225645780482544,,,
135.0,38.49788143620465,38.27390547429346,38.979766411819384,,,
136.0,38.273403320593005,38.054973481446666,38.73942104614666,,,
137.0,38.05445810914532,37.8416363402175,38.50468080941937,,,
138.0,37.84110802530559,37.63395467576048,38.27561516885382,,,
139.0,37.63341370240259,37.43198750608308,38.052291912370094,,,
140.0,37.43143416641813,37.235792225274295,37.83477712853139,,,
141.0,37.235226819212045,37.04542458719463,37.62313518698628,,,
142.0,37.04484742220886,36.86093868963225,37.41742871941964,,,
143.0,36.8603500805505,36.68238695892968,37.217718601017935,,,
144.0,36.681787227719894,36.509820135085626,37.024063932454304,,,
145.0,36.509209610639516,36.343287257335795,36.83652202239868,,,
146.0,36.34266627524927,36.18283565021724,36.65514837055841,,,
147.0,36.18220455256791,36.02851091011988,36.47999665125401,,,
148.0,36.0278700452416,35.880356892329104,36.31111869753528,,,
149.0,35.879706614583895,35.73841569856319,36.148564485842144,,,
150.0,35.7377563681105,35.60272766500904,35.99238212121508,,,
151.0,35.602059647572446,35.473331350859674,35.84261782305927,,,
152.0,35.47265501749112,35.350263527356546,35.69931591146674,,,
153.0,35.34957925419836,35.23355916734019,35.56251879410067,,,
154.0,35.23286733538475,35.123251435311694,35.43226695364556,,,
155.0,35.12255243015912,35.01937167800827,35.308598935827135,,,
156.0,35.01866588962194,34.92194941549519,35.191551338005375,,,
157.0,34.921237237955516,34.831012332776965,35.08115879834419,,,
158.0,34.83029416403328,34.74658627192996,34.9774539855609,,,
159.0,34.74586251355074,34.668695224758636,34.880467589258444,,,
160.0,34.667966281680194,34.597361325977786,34.79022831084341,,,
161.0,34.5966276062514,34.53260484692228,34.706762855032295,,,
162.0,34.53186676146012,34.47444418978655,34.630095921948765,,,
163.0,34.47370215210623,34.42289588239508,34.56025019981406,,,
164.0,34.4221503083631,34.377974573505604,34.49724635823283,,,
165.0,34.377225881079895,34.33969302864632,34.44110304207633,,,
166.0,34.33894163761775,34.30806212648824,34.391836865964805,,,
167.0,34.307308458221364,34.28309085575371,34.34946240935068,,,
168.0,34.28233533292689,34.26478631266208,34.31399221220403,,,
169.0,34.264029359007,34.253153698913074,34.285436771301605,,,
170.0,34.25239573895382,34.24819632020868,34.26380453712048,,,
171.0,34.24743777900047,34.249915585313644,34.249101911337306,,,
172.0,34.249156888181375,34.25831100565523,34.24133324493383,,,
173.0,34.25755257793189,34.27338019546203,34.240500836909305,,,
174.0,34.27262246222706,34.295118872441904,34.24660493360016,,,
175.0,34.29436225825984,34.32352085899894,34.25964372860706,,,
176.0,34.32276578765814,34.358578083988974,34.2796133633295,,,
177.0,34.357824978240764,34.400280585013206,34.30650792810772,,,
178.0,34.399529866311454,34.44861651124923,34.34031946397151,,,
179.0,34.447868599490576,34.503572126818824,34.381037964995556,,,
180.0,34.5028274400835,34.565131814691284,34.42865138126052,,,
181.0,34.56439076898481,34.633278081121404,34.48314562241899,,,
182.0,34.63254109011717,34.7079915606208,34.54450456186525,,,
183.0,34.70725903540371,34.78925102146107,34.61271004150773,,,
184.0,34.7885233702723,34.87703337170737,34.687741877142486,,,
185.0,34.87631099969039,34.971313665780514,34.769577864426395,,,
186.0,34.97059697472848,35.07206511154594,34.85819378544818,,,
187.0,35.071354499650575,35.179259077927355,34.9535634158952,,,
188.0,35.178554939529384,35.292865103042985,35.05565853281411,,,
189.0,35.29216782838431,35.41285090286208,35.164448922962926,,,
190.0,35.41216087783974,35.539182380379266,35.27990239175214,,,
191.0,35.53849998630129,35.67182363530404,35.40198477277208,,,
192.0,35.67114924864739,35.81073697426277,35.53065993790389,,,
193.0,35.81007096643333,35.9558829215102,35.665889808011016,,,
194.0,35.95522565860508,36.10722023014753,35.80763436420801,,,
195.0,36.10657207271963,36.26470589384371,35.95585165970347,,,
196.0,36.2640671966688,36.428295159056816,36.11049783221337,,,
197.0,36.42766627090312,36.59794153775187,36.271527116941414,,,
198.0,36.59732280115234,36.77359682061165,36.43889186012226,,,
199.0,36.77298857163893,36.955211090736526,36.61254253312383,,,
200.0,36.95461365878083,37.14273273782966,36.7924277471044,,,
201.0,37.14214644537958,37.33610847286334,36.97849426822029,,,
202.0,37.33553363528968,37.53528334322243,37.17068703337938,,,
203.0,37.534720268565216,37.740200748320554,37.36894916653615,,,
204.0,37.73964973707929,37.95080245568458,37.57322199552307,,,
205.0,37.95026380061178,38.16702861750284,37.78344506941363,,,
206.0,38.166502603401085,38.388817787632405,37.99955617641169,,,
207.0,38.38830469115486,38.6161069390606,38.221491362261986,,,
208.0,38.6156070285151,38.848831481815665,38.44918494917627,,,
209.0,38.84834501697263,39.0869252813217,38.682569555269424,,,
210.0,39.08645251322569,39.330320677192404,38.92157611450001,,,
211.0,39.32986184797767,39.57894850245857,39.166133897109106,,,
212.0,39.578503845168456,39.83273810322356,39.41617053055153,,,
213.0,39.832307841634076,40.09161735874146,39.671612020913216,,,
214.0,40.09120170718883,40.355512701911955,39.93238277480838,,,
215.0,40.355111865124485,40.62434914018636,40.198405621750105,,,
216.0,40.62396331312051,40.89805027687857,40.46960183698751,,,
217.0,40.89767964455946,41.176538332875204,40.74589116480297,,,
218.0,41.176183070241436,41.45973416873841,41.02719184226241,,,
219.0,41.45939444049156,41.74755730719543,41.31342062341156,,,
220.0,41.74723326765396,42.039925956008204,41.6044928039111,,,
221.0,42.03961774896611,42.33675703121675,41.90032224610347,,,
222.0,42.336464789806875,42.637966180749515,42.200821404503735,,,
223.0,42.637690027311706,42.94346780839421,42.505901351707145,,,
224.0,42.94320785434827,43.25317509812214,42.81547180470564,,,
225.0,43.252931443845675,43.5670000387591,43.129441151605434,,,
226.0,43.566772773470404,43.8848534489961,43.447716478738045,,,
227.0,43.88464265064199,44.2066450027324,43.77020359815636,,,
228.0,44.206450737881156,44.532283254744044,44.09680707550791,,,
229.0,44.53210557848351,44.8616756666702,44.42743025827699,,,
230.0,44.861514622511095,45.19472863331045,44.761975304387306,,,
231.0,45.19458425309482,45.53134750922496,45.100343211156506,,,
232.0,45.53121981304001,45.871436635630424,45.442433844594326,,,
233.0,45.871325631727665,46.214899367583946,45.78814596903547,,,
234.0,46.214805052303724,46.56163810144707,46.13737727709851,,,
235.0,46.56156045914851,46.91155430262246,46.490024419961955,,,
236.0,46.91149330561882,47.26454853355487,46.84598303794844,,,
237.0,47.264504142054506,47.620520481988954,47.20514779140828,,,
238.0,47.62049264404169,47.97936898947542,47.56741239189266,,,
239.0,47.97935764092469,48.340992080117886,47.93266963360799,,,
240.0,48.340997144558195,48.70528698955185,48.30081142514149,,,
241.0,48.70530837829208,49.07215019414776,48.67172882144892,,,
