x_IR_A, y_IR_A, x_IR_B, y_IR_B, x_IR_C, y_IR_C
3397.74824,1.03129,3397.74824,1.03085,3397.74824,1.03985
3395.81989,1.03093,3395.81989,1.03076,3395.81989,1.03977
3393.89154,1.03103,3393.89154,1.03069,3393.89154,1.03972
3391.96320,1.03126,3391.96320,1.03058,3391.96320,1.03967
3390.03485,1.03115,3390.03485,1.03040,3390.03485,1.03965
3388.10650,1.03066,3388.10650,1.03034,3388.10650,1.03965
3386.17815,1.03031,3386.17815,1.03045,3386.17815,1.03969
3384.24981,1.03023,3384.24981,1.03048,3384.24981,1.03967
3382.32146,1.03033,3382.32146,1.03035,3382.32146,1.03958
3380.39311,1.03047,3380.39311,1.03021,3380.39311,1.03953
3378.46476,1.03063,3378.46476,1.03019,3378.46476,1.03957
3376.53642,1.03078,3376.53642,1.03031,3376.53642,1.03962
3374.60807,1.03096,3374.60807,1.03053,3374.60807,1.03968
3372.67972,1.03123,3372.67972,1.03068,3372.67972,1.03973
3370.75137,1.03159,3370.75137,1.03068,3370.75137,1.03968
3368.82303,1.03185,3368.82303,1.03060,3368.82303,1.03958
3366.89468,1.03185,3366.89468,1.03063,3366.89468,1.03954
3364.96633,1.03174,3364.96633,1.03064,3364.96633,1.03960
3363.03798,1.03171,3363.03798,1.03052,3363.03798,1.03967
3361.10964,1.03180,3361.10964,1.03040,3361.10964,1.03970
3359.18129,1.03192,3359.18129,1.03043,3359.18129,1.03976
3357.25294,1.03193,3357.25294,1.03056,3357.25294,1.03980
3355.32459,1.03195,3355.32459,1.03058,3355.32459,1.03976
3353.39625,1.03210,3353.39625,1.03044,3353.39625,1.03970
3351.46790,1.03226,3351.46790,1.03042,3351.46790,1.03960
3349.53955,1.03224,3349.53955,1.03055,3349.53955,1.03947
3347.61121,1.03215,3347.61121,1.03066,3347.61121,1.03948
3345.68286,1.03224,3345.68286,1.03070,3345.68286,1.03965
3343.75451,1.03243,3343.75451,1.03077,3343.75451,1.03977
3341.82616,1.03250,3341.82616,1.03082,3341.82616,1.03979
3339.89782,1.03255,3339.89782,1.03078,3339.89782,1.03984
3337.96947,1.03268,3337.96947,1.03070,3337.96947,1.03993
3336.04112,1.03285,3336.04112,1.03067,3336.04112,1.03999
3334.11277,1.03303,3334.11277,1.03061,3334.11277,1.04002
3332.18443,1.03320,3332.18443,1.03052,3332.18443,1.04007
3330.25608,1.03323,3330.25608,1.03052,3330.25608,1.04008
3328.32773,1.03326,3328.32773,1.03065,3328.32773,1.04010
3326.39938,1.03342,3326.39938,1.03072,3326.39938,1.04013
3324.47104,1.03356,3324.47104,1.03067,3324.47104,1.04008
3322.54269,1.03356,3322.54269,1.03068,3322.54269,1.03998
3320.61434,1.03350,3320.61434,1.03078,3320.61434,1.03992
3318.68599,1.03350,3318.68599,1.03084,3318.68599,1.03992
3316.75765,1.03352,3316.75765,1.03088,3316.75765,1.03990
3314.82930,1.03349,3314.82930,1.03099,3314.82930,1.03980
3312.90095,1.03357,3312.90095,1.03100,3312.90095,1.03973
3310.97260,1.03375,3310.97260,1.03075,3310.97260,1.03980
3309.04426,1.03395,3309.04426,1.03052,3309.04426,1.03993
3307.11591,1.03415,3307.11591,1.03046,3307.11591,1.03996
3305.18756,1.03413,3305.18756,1.03044,3305.18756,1.03983
3303.25921,1.03387,3303.25921,1.03038,3303.25921,1.03968
3301.33087,1.03370,3301.33087,1.03040,3301.33087,1.03960
3299.40252,1.03374,3299.40252,1.03058,3299.40252,1.03961
3297.47417,1.03394,3297.47417,1.03081,3297.47417,1.03969
3295.54582,1.03412,3295.54582,1.03094,3295.54582,1.03982
3293.61748,1.03422,3293.61748,1.03094,3293.61748,1.03991
3291.68913,1.03430,3291.68913,1.03092,3291.68913,1.04001
3289.76078,1.03434,3289.76078,1.03088,3289.76078,1.04010
3287.83243,1.03419,3287.83243,1.03081,3287.83243,1.04000
3285.90409,1.03403,3285.90409,1.03080,3285.90409,1.03980
3283.97574,1.03407,3283.97574,1.03087,3283.97574,1.03974
3282.04739,1.03429,3282.04739,1.03095,3282.04739,1.03987
3280.11904,1.03451,3280.11904,1.03094,3280.11904,1.04004
3278.19070,1.03458,3278.19070,1.03086,3278.19070,1.04012
3276.26235,1.03448,3276.26235,1.03078,3276.26235,1.04003
3274.33400,1.03433,3274.33400,1.03072,3274.33400,1.03986
3272.40565,1.03423,3272.40565,1.03062,3272.40565,1.03975
3270.47731,1.03425,3270.47731,1.03055,3270.47731,1.03978
3268.54896,1.03438,3268.54896,1.03057,3268.54896,1.03992
3266.62061,1.03461,3266.62061,1.03067,3266.62061,1.04008
3264.69226,1.03486,3264.69226,1.03083,3264.69226,1.04017
3262.76392,1.03494,3262.76392,1.03090,3262.76392,1.04006
3260.83557,1.03477,3260.83557,1.03086,3260.83557,1.03983
3258.90722,1.03460,3258.90722,1.03078,3258.90722,1.03975
3256.97887,1.03459,3256.97887,1.03073,3256.97887,1.03989
3255.05053,1.03457,3255.05053,1.03073,3255.05053,1.04002
3253.12218,1.03448,3253.12218,1.03072,3253.12218,1.03996
3251.19383,1.03438,3251.19383,1.03065,3251.19383,1.03977
3249.26548,1.03432,3249.26548,1.03058,3249.26548,1.03962
3247.33714,1.03445,3247.33714,1.03052,3247.33714,1.03960
3245.40879,1.03466,3245.40879,1.03055,3245.40879,1.03971
3243.48044,1.03476,3243.48044,1.03056,3243.48044,1.03982
3241.55209,1.03467,3241.55209,1.03052,3241.55209,1.03987
3239.62375,1.03463,3239.62375,1.03057,3239.62375,1.03992
3237.69540,1.03470,3237.69540,1.03071,3237.69540,1.03999
3235.76705,1.03478,3235.76705,1.03075,3235.76705,1.03995
3233.83870,1.03482,3233.83870,1.03064,3233.83870,1.03986
3231.91036,1.03474,3231.91036,1.03058,3231.91036,1.03982
3229.98201,1.03458,3229.98201,1.03067,3229.98201,1.03981
3228.05366,1.03448,3228.05366,1.03083,3228.05366,1.03978
3226.12531,1.03447,3226.12531,1.03090,3226.12531,1.03980
3224.19697,1.03451,3224.19697,1.03082,3224.19697,1.03984
3222.26862,1.03458,3222.26862,1.03068,3222.26862,1.03982
3220.34027,1.03463,3220.34027,1.03058,3220.34027,1.03977
3218.41192,1.03470,3218.41192,1.03049,3218.41192,1.03983
3216.48358,1.03472,3216.48358,1.03047,3216.48358,1.03994
3214.55523,1.03469,3214.55523,1.03054,3214.55523,1.03995
3212.62688,1.03475,3212.62688,1.03052,3212.62688,1.03990
3210.69853,1.03473,3210.69853,1.03039,3210.69853,1.03994
3208.77019,1.03457,3208.77019,1.03029,3208.77019,1.03998
3206.84184,1.03439,3206.84184,1.03027,3206.84184,1.03993
3204.91349,1.03427,3204.91349,1.03037,3204.91349,1.03986
3202.98514,1.03428,3202.98514,1.03054,3202.98514,1.03987
3201.05680,1.03435,3201.05680,1.03073,3201.05680,1.03993
3199.12845,1.03436,3199.12845,1.03088,3199.12845,1.03994
3197.20010,1.03435,3197.20010,1.03099,3197.20010,1.03991
3195.27176,1.03436,3195.27176,1.03097,3195.27176,1.03987
