Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
2.83000000, 0.40885206, 0.40343225, 0.81228431, 507.12201416, 3.61702553, 65.45082700
2.84000000, 0.39127563, 0.41984432, 0.81111995, 538.86435257, 3.51053960, 65.45082700
2.85000000, 0.39533830, 0.41589102, 0.81122932, 531.21833523, 3.54517739, 65.45082700
2.86000000, 0.41147732, 0.39892018, 0.81039751, 498.39530330, 3.65298286, 65.45082700
2.87000000, 0.43671289, 0.37515296, 0.81186585, 452.42747958, 3.79623446, 65.45082700
2.88000000, 0.44858386, 0.36556002, 0.81414388, 433.87393438, 3.84697755, 65.45082700
2.89000000, 0.42951856, 0.38330176, 0.81282032, 468.18794891, 3.75207633, 65.45082700
2.90000000, 0.41628816, 0.39587392, 0.81216208, 492.50357029, 3.67677350, 65.45082700
2.91000000, 0.42741432, 0.38734822, 0.81476254, 476.01415209, 3.71257698, 65.45082700
2.92000000, 0.42856354, 0.38883275, 0.81739629, 478.88535033, 3.69373187, 65.45082700
2.93000000, 0.39268704, 0.42243086, 0.81511791, 543.86693734, 3.50332577, 65.45082700
2.94000000, 0.36139705, 0.44933021, 0.81072725, 595.89253774, 3.40242249, 65.45082700
2.95000000, 0.38123208, 0.43022249, 0.81145458, 558.93661211, 3.54116648, 65.45082700
2.96000000, 0.41771603, 0.39567069, 0.81338672, 492.11050184, 3.75438522, 65.45082700
2.97000000, 0.42517666, 0.38755886, 0.81273552, 476.42153381, 3.80997529, 65.45082700
2.98000000, 0.41174623, 0.39985174, 0.81159798, 500.19701545, 3.72791695, 65.45082700
2.99000000, 0.40483113, 0.40610660, 0.81093773, 512.29444045, 3.67023537, 65.45082700
3.00000000, 0.41589916, 0.39580000, 0.81169916, 492.36060493, 3.71925878, 65.45082700
3.01000000, 0.43161811, 0.38111086, 0.81272896, 463.95056198, 3.80139705, 65.45082700
3.02000000, 0.43814771, 0.37585201, 0.81399972, 453.77950153, 3.85571560, 65.45082700
3.03000000, 0.42714959, 0.38818964, 0.81533923, 477.64152231, 3.79638625, 65.45082700
3.04000000, 0.39793148, 0.41601481, 0.81394629, 531.45775299, 3.63257336, 65.45082700
3.05000000, 0.37827079, 0.43274670, 0.81101749, 563.81863732, 3.51283172, 65.45082700
3.06000000, 0.39761072, 0.41410660, 0.81171732, 527.76711128, 3.60446805, 65.45082700
3.07000000, 0.42594710, 0.38788950, 0.81383660, 477.06102159, 3.76054204, 65.45082700
3.08000000, 0.42592160, 0.38648267, 0.81240426, 474.34009412, 3.84241393, 65.45082700
3.09000000, 0.42079672, 0.39092461, 0.81172133, 482.93118412, 3.86081501, 65.45082700
3.10000000, 0.42964941, 0.38415028, 0.81379969, 469.82905743, 3.87936804, 65.45082700
3.11000000, 0.43037683, 0.38469237, 0.81506921, 470.87751618, 3.82459308, 65.45082700
3.12000000, 0.41478550, 0.39878666, 0.81357216, 498.13706235, 3.69834631, 65.45082700
3.13000000, 0.40955738, 0.40359381, 0.81315119, 507.43448438, 3.66617251, 65.45082700
3.14000000, 0.41886587, 0.39593800, 0.81480387, 492.62751031, 3.72793224, 65.45082700
3.15000000, 0.41931063, 0.39523746, 0.81454808, 491.27259523, 3.75540660, 65.45082700
3.16000000, 0.41309795, 0.40105845, 0.81415640, 502.53088609, 3.75840618, 65.45082700
3.17000000, 0.40789282, 0.40623402, 0.81412684, 512.54088092, 3.71915259, 65.45082700
3.18000000, 0.40143321, 0.41271638, 0.81414959, 525.07830196, 3.67537247, 65.45082700
3.19000000, 0.39152186, 0.42166290, 0.81318476, 542.38163601, 3.63304551, 65.45082700
3.20000000, 0.38657761, 0.42478742, 0.81136503, 548.42471543, 3.58538166, 65.45082700
3.21000000, 0.39754034, 0.41315892, 0.81069926, 525.93421500, 3.62168464, 65.45082700
3.22000000, 0.41654503, 0.39515403, 0.81169906, 491.11123910, 3.72213182, 65.45082700
3.23000000, 0.42453760, 0.38724445, 0.81178205, 475.81343934, 3.79247316, 65.45082700
3.24000000, 0.42164757, 0.38997020, 0.81161777, 481.08528691, 3.79136845, 65.45082700
3.25000000, 0.41792955, 0.39417900, 0.81210854, 489.22544371, 3.75246559, 65.45082700
3.26000000, 0.41414891, 0.39756986, 0.81171878, 495.78366826, 3.74182715, 65.45082700
3.27000000, 0.41667374, 0.39575781, 0.81243155, 492.27900524, 3.73819792, 65.45082700
3.28000000, 0.41865480, 0.39394560, 0.81260041, 488.77404470, 3.70085162, 65.45082700
3.29000000, 0.41865734, 0.39411659, 0.81277393, 489.10474467, 3.66489061, 65.45082700
3.30000000, 0.41431834, 0.39982078, 0.81413911, 500.13712347, 3.63011882, 65.45082700
3.31000000, 0.39518199, 0.41758191, 0.81276390, 534.48865428, 3.56067050, 65.45082700
3.32000000, 0.38249081, 0.42797683, 0.81046763, 554.59330208, 3.53298026, 65.45082700
3.33000000, 0.40002422, 0.41006606, 0.81009028, 519.95236434, 3.64297784, 65.45082700
3.34000000, 0.43166748, 0.38145931, 0.81312679, 464.62449723, 3.81268743, 65.45082700
3.35000000, 0.43051312, 0.38251094, 0.81302406, 466.65844262, 3.78239571, 65.45082700
3.36000000, 0.40771083, 0.40312480, 0.81083563, 506.52738617, 3.63168982, 65.45082700
3.37000000, 0.40571048, 0.40514305, 0.81085353, 510.43085350, 3.59773036, 65.45082700
3.38000000, 0.42404335, 0.38876185, 0.81280520, 478.74822627, 3.67572386, 65.45082700
3.39000000, 0.43173782, 0.38157421, 0.81331203, 464.84672006, 3.72033014, 65.45082700
3.40000000, 0.42374290, 0.38916192, 0.81290482, 479.52198725, 3.69892358, 65.45082700
3.41000000, 0.41605559, 0.39713716, 0.81319275, 494.94678152, 3.70018612, 65.45082700
3.42000000, 0.41118169, 0.40229196, 0.81347365, 504.91660007, 3.72509429, 65.45082700
3.43000000, 0.40412738, 0.40955499, 0.81368237, 518.96390961, 3.65368991, 65.45082700
3.44000000, 0.39155939, 0.42045732, 0.81201671, 540.04994545, 3.55424979, 65.45082700
3.45000000, 0.38746291, 0.42391960, 0.81138251, 546.74628456, 3.51875251, 65.45082700
3.46000000, 0.39009254, 0.42135579, 0.81144833, 541.78765039, 3.52172163, 65.45082700
3.47000000, 0.39036236, 0.41855378, 0.80891615, 536.36834045, 3.56243396, 65.45082700
