Time [s],Wavelength [nm],Voltage [V]
3726654243.5054016100,630.4062500000,0.0007945000
3726654244.3922362300,630.5937500000,0.0007863000
3726654245.2796502100,630.8125000000,0.0007802000
3726654246.1614398900,631.0000000000,0.0007863000
3726654247.0450391800,631.1875000000,0.0007832000
3726654247.9263134000,631.4062500000,0.0007843000
3726654248.8085866000,631.5937500000,0.0007904000
3726654249.6903505300,631.8125000000,0.0007843000
3726654250.5735545100,632.0000000000,0.0007822000
3726654251.4542775100,632.1875000000,0.0007863000
3726654252.3354625700,632.4062500000,0.0007863000
3726654253.2202754000,632.5937500000,0.0007945000
3726654254.0897407500,632.8125000000,0.0007945000
3726654254.9702568000,633.0000000000,0.0007985000
3726654255.8566184000,633.1875000000,0.0008782000
3726654256.7422838200,633.4062500000,0.0008802000
3726654257.6253986300,633.5937500000,0.0008251000
3726654258.5109953900,633.8125000000,0.0007843000
3726654259.3932271000,634.0000000000,0.0007843000
3726654260.2750983200,634.1875000000,0.0007740000
3726654261.1541008900,634.4062500000,0.0007822000
3726654262.0363087600,634.5937500000,0.0007740000
3726654262.9187464700,634.8125000000,0.0008047000
3726654263.7949485800,635.0000000000,0.0007883000
3726654264.6753301600,635.1875000000,0.0007740000
3726654265.5592913600,635.4062500000,0.0007700000
3726654266.4423689800,635.5937500000,0.0007720000
3726654267.3255767800,635.8125000000,0.0007883000
3726654268.2060327500,636.0000000000,0.0007863000
3726654269.0898551900,636.1875000000,0.0007781000
3726654269.9751887300,636.4062500000,0.0007761000
3726654270.8560414300,636.5937500000,0.0007720000
3726654271.7381472600,636.8125000000,0.0007781000
3726654272.6227917700,637.0000000000,0.0007781000
3726654273.5000209800,637.1875000000,0.0007863000
3726654274.3742070200,637.4062500000,0.0007843000
3726654275.2577743500,637.5937500000,0.0007883000
3726654276.1409912100,637.8125000000,0.0007945000
3726654277.0239625000,638.0000000000,0.0008006000
3726654277.9075446100,638.1875000000,0.0008476000
3726654278.7870545400,638.4062500000,0.0008088000
3726654279.6638250300,638.5937500000,0.0007720000
3726654280.5493240300,638.8125000000,0.0007761000
3726654281.4258337000,639.0000000000,0.0007679000
3726654282.3041930200,639.1875000000,0.0007700000
3726654283.1859369300,639.4062500000,0.0007761000
3726654284.0717120200,639.5937500000,0.0008292000
3726654284.9536423700,639.8125000000,0.0012785000
3726654285.8304634100,640.0000000000,0.0013153000
3726654286.7032704300,640.1875000000,0.0008945000
3726654287.5851912500,640.4062500000,0.0008292000
3726654288.4654359800,640.5937500000,0.0007985000
3726654289.3464894300,640.8125000000,0.0007863000
3726654290.2264046700,641.0000000000,0.0007822000
3726654291.1061477600,641.1875000000,0.0007904000
3726654291.9887704800,641.4062500000,0.0007924000
